Customer_Service,Satisfaction
Customer service was friendly and helpful.,1
Customer service was good at MSP airport and the process was very fast.  From getting off of the plane to leaving with my rental car was less than 45 minutes.,1
I do not  understand why I have to pay additional fee if vehicle is returned without a full tank.,0
"Based on the customer service personnel I encountered most recently, I would say it is vastly preferable for the personnel to be able to at least pretend to care whether the customer ever actually receives a car rental that was reserved months in advance.",0
Provide more convenient car pickup from the airport parking.,0
"all went quite without hassle, they picked me up to get the car it was great.",1
VERY slow service!,0
Its nice when you get in your car and it has already been started up with the A/C or heating going.,1
They could really try work harder.,0
"I would like the personnel to pretend they care about customer, at least.",0
"Customer Service is great since you don't have to deal with any people, per se.  The car is ready and waiting for you and the shuttle just drops you off to it.",1
Customer service went out of their way to provide a car that would fit our needs,1
they were trying to satisfy me even though my wife tells me I was being rude,1
We got our car very quickly.,1
long lines moved quickly,1
"I did everything on-line - never talked to an agent during booking.  There were no problems, even though I had to switch car sizes after initial reservation. Agent on duty for pick-up was courteous.",1
"The customer service agent was helpful, but I find that providing all of the information to the agent takes too long.  It would be nice if I could provide all of the information to the agent prior to coming the rental place.",0
"We had a small problem with the size of car we reserved being available. The company was able to send another car over from a different location. We were delayed in getting on the road, but were satisfied with the car.",1
"I had to wait in line for a long time to get and return the vehicle.  Also, the car was not clean.",0
It was absolutely ATROCIOUS! My wife and I were in a foreign country  when we realized that our car had an expired license plate and expired proof of insurance!,0
"Very nice, free upgrade",1
they should not try so hard to up sell,0
They were friendly and helpful enough.,1
long lines waiting for the rental pick.,0
"We needed a minivan on very short notice to drive out of town to a funeral.  Enterprise staff worked hard to find us one, and they did. We smashed the car into a parking garage pole.  Since we had purchased the comprehensive insurance we didn't have to go through all of the B.S.",1
I guess it really DOES "try harder.",1
Experience was fine,1
what customer service? It was a nightmare,0
People were nice.  Service was fast.,1
"Well since I used to work for a car rental company and at the time I rented I was still working with the company, I was treated with nothing but respect and received a free upgrade as well.",1
"""sorely lacking""  helpdesk was not much helpfull",0
"delayed shuttle, almost missed flight, bad customer service",0
The rental car guy was cute.,1
I would like the reps be knowledgeable about the immediate area around the rental agency and or have maps for the area available free of charge.,0
customer service was OK,1
"I was happy that we arrived very late and there was still a live person to help us get our rental.  We had no problems with the car, and returned it easily.",1
They were very good and took care of what I needed. Very quick.,1
Everyone was very friendly. They even drove us to the airport since we were running late for our flight.,1
Did not have some problems. My car was not ready on time.,0
"We dealt with customer service at car pick-up place, and drive off in few minutes.",1
they were extremely helpful and did whatever they could to help us.,1
customer service was OK,1
